id;codigo;codigo_barra;nome;nome_resumido;grupo_produto_id;fornecedor_id;tipo;subtipo;tipo_combustivel;preco_unit;preco_prazo;unid_med;iat;ippt;tributacao;codigo_ncm;codigo_nbs;cst_pis;aliquota_pis;cst_cofins;aliquota_cofins;natureza_receita;cst_ipi_saida;cst_ipi_entrada;aliquota_ipi;custo_subst;uso_consumo;controlar_estoque;estoque_negativo;destaque_subst;exporta_inforlub;exporta_exchange_orcamento;codigo_cpbr;solicitacao_cpbr;situacao_cpbr;integrado_cpbr;saldo;codigo_anp;classificacao_fiscal;tipo_servico;favorito;sigla;paf_hash;permite_venda;permite_comissao;cest;venda_ler_vendedor;combo_variavel;customizavel;escala;fabricante_cnpj;fabricante_benef;sem_gtin;perc_glp;perc_gnv_nacional;perc_gnv_importado;valor_partida;unid_med_trib;fator_conversao_trib;codigo_nutricional;fabricado_venda;aplicacao;info;km_trocar;grupo_id;subgrupo_id;marca;desconto_percentual;ad_rem;ref_zedelivery;p_biocombustivel;p_origem;indicador_importacao;codigo_uf_origem;setor_id;imprime_ficha;observacao;alto_em_acucar_adicionado;alto_em_gordura_saturada;alto_em_sodio;hash
542;7891991010481;7891991010481;CERV BUDWEISER LT 350ML;CV BUDWEISER 350ML;753;207;2;2;;5.99;5.99;UN;A;T;600002;2203.00.00;;4;0;4;0;;;;;0;f;t;1;f;f;f;53271;;;1;0;;;;0;;V0016B597F7988C41399CE236AF69FE21C8C16;t;f;301200;t;f;f;f;;;f;0;0;0;0;UN;;441;f;;;;;753;;0;0;;0;100;0;;2;f;;f;f;f;
6703;7896045506934;7896045506934;CERV AMSTEL PURO MALTE LT 350ML;CERV AMSTEL PU MAL 350ML;753;;2;2;;5.49;5.49;UN;A;T;600002;2203.00.00;;4;0;4;0;;;;;0;f;t;1;f;f;f;1101767;717052;1;0;0;;;;0;;V0012070189AAEA01020A727DBD421BE21B61F;t;f;302100;t;f;f;f;;;f;0;0;0;0;UN;;9212;f;;;;;753;;0;0;;0;100;0;;2;f;;f;f;f;
4473;7891991011723;7891991011723;CERV BUDWEISER LT 473ML;CERV BUDWEISER LT 473ML;754;;2;2;;6.49;6.49;UN;A;T;600002;2203.00.00;;4;0;4;0;;;;;0;f;t;1;f;f;f;119259;;;1;0;;;;0;;V001D0B20CE0F95E1E549062BF539C3711CDE4;t;f;302100;t;f;f;f;;;f;0;0;0;0;UN;;5094;f;;;;;754;;0;0;;0;100;0;;2;f;;f;f;f;
496;7891149011001;7891149011001;CERV BRAHMA CHOPP LT 473ML;CV BRAHMA CHOPP LT 473ML;754;207;2;2;;6.49;6.49;UN;A;T;600002;2203.00.00;;4;0;4;0;;;;;0;f;t;1;f;f;f;405;;;1;0;;;;0;;V0015E3F1F25707B95B0BE94F4006B679DA75C;t;f;301400;t;f;f;f;;;f;0;0;0;0;UN;;7767;f;;;;;754;;0;0;;0;100;0;;2;f;;f;f;f;
5126;7898099394642;7898099394642;CERV GERMANIA 55 WIENBIER S GLUTEN LT 710ML;CERV GERMANIA 55 WIE 710ML;754;;2;2;;13.59;13.59;UN;A;T;600002;2203.00.00;;4;0;4;0;;;;;0;f;t;1;f;f;f;184693;;;1;0;;;;0;;V001E55F6423E4223E77DC76FB36B0AABAD0BE;t;f;301200;t;f;f;f;;;t;0;0;0;0;UN;;5884;f;;;;;754;;0;0;;0;100;0;;2;f;;f;f;f;
6305;7898915949940;7898915949940;CERV IMPERIO ULTRA LT 269ML;CERV IMPERIO UL 269ML;754;;2;2;;4.49;4.49;UN;A;T;600002;2203.00.00;;4;0;4;0;;;;;0;f;t;1;f;f;f;1097480;0;0;1;0;;;;0;;V0017C835FA04F45480BC0B4CC63EED8370E21;t;f;302100;t;f;f;f;;;f;0;0;0;0;UN;;10217;f;;;;;754;;0;0;;0;100;0;;2;f;;f;f;f;
5699;7898099399357;7898099399357;CERV WIENBIER WEISS LT 473ML;CERV WIENBIER WEISS 473ML;754;;2;2;;5.99;5.99;UN;A;T;600002;2203.00.00;;4;0;4;0;;;;;0;f;t;1;f;f;f;1076287;;;1;0;;;;0;;V001066890B9D29A5CDCE4AEFE7AA380F817E9;t;f;302100;t;f;f;f;;;t;0;0;0;0;UN;;6678;f;;;;;754;;0;0;;0;100;0;;2;f;;f;f;f;
5210;7898915949780;7898915949780;CERV PURO MALTE PILSEN LT 269ML;CERV PURO MALTE PILS 269ML;754;;2;2;;2.39;2.39;UN;A;T;600002;2203.00.00;;4;0;4;0;;;;;0;f;t;1;f;f;f;1075229;;;1;0;;;;0;;V001B4D92581760AEC2558667C6521FC97A1F2;t;f;302100;t;f;f;f;;;f;0;0;0;0;UN;;6033;f;;;;;754;;0;0;;0;100;0;;2;f;;f;f;f;
3033;7898915949391;7898915949391;CERV IMPERIO GOLD LT 269ML;CERV IMPERIO GOLD 269ML;754;;2;2;;2.99;2.99;UN;A;T;600002;2203.00.00;;4;0;4;0;;;;;0;f;f;1;f;f;f;187752;;;1;0;;;;0;;V001C57D0CBCA45FD9F5CB0759C4B9B314E1EC;t;f;302100;t;f;f;f;;;f;0;0;0;0;UN;;3421;f;;;;;754;;0;0;;0;100;0;;2;f;;f;f;f;
5243;7898915949803;7898915949803;CERV PURO MALTE PILSEN LT 473ML;CERV PURO MALTE PILS 473ML;754;;2;2;;5.99;5.99;UN;A;T;600002;2203.00.00;;4;0;4;0;;;;;0;f;t;1;f;f;f;1075228;;;1;0;;;;0;;V00130D31B3D8AD1F9D26FFDFF4AF908259BA7;t;f;302100;t;f;f;f;;;f;0;0;0;0;UN;;6067;f;;;;;754;;0;0;;0;100;0;;2;f;;f;f;f;
